epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,1254.79,0.53506,0.35309,0.97803,0.99049,0.91976,0.98441,0.84973,0.56603,0.31475,0.99666,0.0092278,0.0092278,0.0092278
80,1271.28,0.53457,0.36395,0.97315,0.97581,0.94561,0.98253,0.86058,0.54874,0.30088,0.97937,0.0092179,0.0092179,0.0092179
81,1287.44,0.52549,0.34971,0.97777,0.98195,0.92624,0.98488,0.84805,0.5695,0.29855,1.00637,0.009208,0.009208,0.009208
82,1304.02,0.53619,0.36307,0.98172,0.96422,0.93597,0.9814,0.85244,0.55265,0.29582,0.98801,0.0091981,0.0091981,0.0091981
83,1320.18,0.5382,0.35367,0.98236,0.98062,0.93253,0.98048,0.84505,0.54515,0.28882,0.98736,0.0091882,0.0091882,0.0091882
84,1336.42,0.51967,0.34451,0.9891,0.9856,0.9285,0.98254,0.84524,0.53637,0.29843,0.99971,0.0091783,0.0091783,0.0091783
85,1352.49,0.53992,0.35285,0.97789,0.98833,0.92252,0.97388,0.84604,0.5436,0.28979,0.99609,0.0091684,0.0091684,0.0091684
86,1368.47,0.53814,0.35223,0.98863,0.96919,0.92265,0.98081,0.8459,0.54977,0.30802,1.00453,0.0091585,0.0091585,0.0091585
87,1384.7,0.52571,0.34493,0.97659,0.97299,0.94083,0.98395,0.84328,0.56957,0.30901,1.01753,0.0091486,0.0091486,0.0091486
88,1401.31,0.52016,0.3416,0.97866,0.94831,0.95712,0.9875,0.85256,0.55385,0.29993,0.9953,0.0091387,0.0091387,0.0091387
89,1417.48,0.50107,0.33359,0.964,0.972,0.93639,0.98325,0.84296,0.56115,0.31637,1.0098,0.0091288,0.0091288,0.0091288
90,1433.65,0.53125,0.3474,0.97673,0.97167,0.90492,0.97727,0.85216,0.53419,0.31256,0.99782,0.0091189,0.0091189,0.0091189
91,1450.05,0.53886,0.36436,0.98659,0.96799,0.93926,0.97206,0.83975,0.55889,0.30621,0.99414,0.009109,0.009109,0.009109
92,1466.4,0.50787,0.34137,0.96189,0.97311,0.93131,0.9801,0.85369,0.5611,0.29466,0.98833,0.0090991,0.0090991,0.0090991
93,1482.83,0.50956,0.33573,0.96761,0.97087,0.92267,0.97392,0.84687,0.55189,0.30432,1.00197,0.0090892,0.0090892,0.0090892
94,1499.2,0.52459,0.35093,0.97134,0.98069,0.94849,0.98369,0.85814,0.53686,0.28399,0.97527,0.0090793,0.0090793,0.0090793
95,1515.29,0.50537,0.3359,0.96923,0.97337,0.93843,0.98301,0.85148,0.55017,0.2978,0.98267,0.0090694,0.0090694,0.0090694
96,1531.66,0.5213,0.3482,0.96873,0.96462,0.94874,0.98426,0.85297,0.57196,0.28843,0.98109,0.0090595,0.0090595,0.0090595
97,1547.9,0.52042,0.34448,0.95978,0.98217,0.9332,0.98105,0.85441,0.54154,0.28112,0.97393,0.0090496,0.0090496,0.0090496
98,1564.44,0.51133,0.33576,0.96548,0.98645,0.9202,0.97188,0.84619,0.54896,0.29954,0.98723,0.0090397,0.0090397,0.0090397
99,1580.57,0.50325,0.33407,0.96916,0.95873,0.93505,0.98381,0.85211,0.55016,0.29115,0.98354,0.0090298,0.0090298,0.0090298
100,1597.44,0.51313,0.33965,0.9719,0.97667,0.93565,0.98176,0.85665,0.54809,0.28963,0.98003,0.0090199,0.0090199,0.0090199
101,1613.66,0.51102,0.33379,0.9587,0.97525,0.92711,0.97995,0.84583,0.53643,0.28834,0.96201,0.00901,0.00901,0.00901
102,1629.97,0.48948,0.32387,0.9343,0.98336,0.93904,0.98427,0.86656,0.53591,0.27913,0.96729,0.0090001,0.0090001,0.0090001
103,1646.22,0.49985,0.33641,0.95083,0.97667,0.92116,0.98168,0.85018,0.55138,0.28774,0.98429,0.0089902,0.0089902,0.0089902
104,1662.3,0.49038,0.32572,0.95318,0.98366,0.91602,0.98027,0.8533,0.54196,0.29956,0.97986,0.0089803,0.0089803,0.0089803
105,1678.51,0.50229,0.33319,0.9639,0.9731,0.93229,0.98336,0.86239,0.53313,0.28693,0.98482,0.0089704,0.0089704,0.0089704
106,1694.65,0.48718,0.31394,0.94984,0.95738,0.94812,0.98572,0.85131,0.5508,0.2889,0.99655,0.0089605,0.0089605,0.0089605
107,1710.82,0.48612,0.33621,0.95091,0.96639,0.94004,0.97901,0.8543,0.53586,0.30507,0.97828,0.0089506,0.0089506,0.0089506
108,1726.88,0.49311,0.33884,0.95552,0.96665,0.94365,0.98165,0.85301,0.55249,0.2991,0.99488,0.0089407,0.0089407,0.0089407
109,1742.82,0.49143,0.33656,0.95185,0.97932,0.93388,0.97963,0.85796,0.52987,0.30127,0.97596,0.0089308,0.0089308,0.0089308
110,1758.74,0.49738,0.33553,0.95245,0.96697,0.93035,0.9766,0.85476,0.54479,0.29845,0.97258,0.0089209,0.0089209,0.0089209
111,1775.12,0.49866,0.32935,0.95193,0.97113,0.93024,0.9805,0.86152,0.52786,0.30496,0.96606,0.008911,0.008911,0.008911
112,1791.24,0.48108,0.33425,0.95118,0.96653,0.93644,0.98406,0.86099,0.54585,0.28393,0.99964,0.0089011,0.0089011,0.0089011
113,1807.15,0.47113,0.31075,0.94553,0.98332,0.91139,0.98402,0.85569,0.54629,0.29225,0.99189,0.0088912,0.0088912,0.0088912
114,1823.09,0.47305,0.31488,0.9475,0.97752,0.93532,0.98338,0.86062,0.54496,0.28717,1.00453,0.0088813,0.0088813,0.0088813
115,1839.01,0.47699,0.32751,0.95186,0.98536,0.93458,0.98291,0.86072,0.53655,0.27325,0.98968,0.0088714,0.0088714,0.0088714
116,1855.18,0.47968,0.32133,0.94659,0.98731,0.92491,0.98118,0.85015,0.54503,0.27532,0.98728,0.0088615,0.0088615,0.0088615
117,1871.2,0.47587,0.32754,0.94429,0.97799,0.92516,0.97992,0.85592,0.5404,0.28145,0.98985,0.0088516,0.0088516,0.0088516
118,1887.21,0.47281,0.31239,0.95458,0.97288,0.9272,0.98249,0.85509,0.54974,0.281,0.9926,0.0088417,0.0088417,0.0088417
119,1903.26,0.46359,0.30948,0.93726,0.99176,0.92455,0.97984,0.85569,0.53339,0.28815,0.97318,0.0088318,0.0088318,0.0088318
120,1919.5,0.47633,0.31305,0.94246,0.99027,0.92019,0.98239,0.86061,0.54943,0.2794,0.9856,0.0088219,0.0088219,0.0088219
121,1935.65,0.47277,0.3224,0.9516,0.97082,0.94401,0.98347,0.86163,0.53722,0.28254,0.97607,0.008812,0.008812,0.008812
122,1951.6,0.47229,0.31183,0.94412,0.9494,0.94026,0.97852,0.84973,0.542,0.3016,0.9915,0.0088021,0.0088021,0.0088021
123,1967.56,0.48143,0.31863,0.95384,0.96706,0.94475,0.98153,0.84803,0.55982,0.29857,1.00174,0.0087922,0.0087922,0.0087922
124,1983.61,0.45968,0.3068,0.93665,0.95506,0.9584,0.98386,0.85987,0.55846,0.29878,0.99706,0.0087823,0.0087823,0.0087823
125,1999.61,0.45851,0.30406,0.93631,0.96278,0.92105,0.98376,0.8685,0.51084,0.2881,0.97004,0.0087724,0.0087724,0.0087724
126,2015.64,0.45476,0.30066,0.92346,0.95276,0.94779,0.98534,0.86431,0.52579,0.27798,0.98457,0.0087625,0.0087625,0.0087625
127,2031.62,0.46955,0.31777,0.94182,0.96975,0.92597,0.98238,0.85496,0.52805,0.2873,0.99116,0.0087526,0.0087526,0.0087526
128,2047.69,0.47088,0.3203,0.93944,0.97082,0.92314,0.97914,0.8469,0.53905,0.29642,0.98324,0.0087427,0.0087427,0.0087427
129,2063.67,0.46337,0.31036,0.93874,0.96233,0.94367,0.97595,0.87022,0.51198,0.27869,0.96211,0.0087328,0.0087328,0.0087328
130,2079.7,0.45616,0.29618,0.93161,0.96674,0.93112,0.98033,0.85951,0.53931,0.28553,0.98621,0.0087229,0.0087229,0.0087229
131,2095.69,0.45764,0.30387,0.93365,0.95718,0.92673,0.97719,0.86246,0.53258,0.29136,0.9812,0.008713,0.008713,0.008713
132,2111.74,0.44007,0.29659,0.9234,0.95767,0.93004,0.9732,0.84839,0.53144,0.31712,0.98188,0.0087031,0.0087031,0.0087031
133,2127.7,0.45301,0.31552,0.94189,0.96092,0.9367,0.98333,0.86461,0.52993,0.28556,0.9934,0.0086932,0.0086932,0.0086932
134,2143.7,0.46294,0.30307,0.94221,0.97958,0.94653,0.98469,0.86022,0.53943,0.28579,0.99761,0.0086833,0.0086833,0.0086833
135,2159.6,0.47995,0.3194,0.95091,0.96385,0.93482,0.9829,0.86279,0.54058,0.30347,0.99487,0.0086734,0.0086734,0.0086734
136,2175.91,0.46186,0.31028,0.92985,0.95692,0.94334,0.97847,0.85224,0.54028,0.28534,0.99108,0.0086635,0.0086635,0.0086635
137,2192.13,0.45912,0.31625,0.93341,0.95753,0.94849,0.98253,0.85424,0.52866,0.2967,0.97684,0.0086536,0.0086536,0.0086536
138,2207.94,0.43784,0.298,0.92919,0.96625,0.94485,0.98177,0.86221,0.51514,0.27268,0.97662,0.0086437,0.0086437,0.0086437
139,2223.75,0.45532,0.30749,0.93319,0.96099,0.9366,0.98047,0.8559,0.52784,0.29074,0.9747,0.0086338,0.0086338,0.0086338
140,2239.73,0.44952,0.28979,0.93028,0.9918,0.92347,0.98493,0.86414,0.52513,0.27825,0.96238,0.0086239,0.0086239,0.0086239
141,2255.52,0.45307,0.302,0.93592,0.98,0.94692,0.9881,0.86831,0.5196,0.27298,0.96632,0.008614,0.008614,0.008614
142,2271.35,0.45688,0.301,0.93601,0.95509,0.96358,0.98637,0.86036,0.51653,0.26418,0.95881,0.0086041,0.0086041,0.0086041
143,2287.19,0.44787,0.30434,0.93685,0.98203,0.94121,0.9828,0.8566,0.52939,0.27098,0.96985,0.0085942,0.0085942,0.0085942
144,2303.14,0.428,0.28654,0.90841,0.96922,0.95618,0.98623,0.86326,0.50487,0.25925,0.9601,0.0085843,0.0085843,0.0085843
145,2318.94,0.43791,0.3026,0.92786,0.98251,0.94645,0.98635,0.86993,0.52639,0.27071,0.96759,0.0085744,0.0085744,0.0085744
146,2334.82,0.4343,0.30248,0.92876,0.9661,0.96238,0.98557,0.86525,0.53932,0.27231,0.99127,0.0085645,0.0085645,0.0085645
147,2350.64,0.442,0.29921,0.93225,0.98041,0.93644,0.98598,0.86659,0.53022,0.26943,0.98497,0.0085546,0.0085546,0.0085546
148,2366.59,0.44582,0.3022,0.93338,0.96618,0.95233,0.9871,0.86556,0.53826,0.27977,0.99946,0.0085447,0.0085447,0.0085447
149,2382.42,0.4393,0.30532,0.93076,0.97422,0.94764,0.98576,0.86184,0.54205,0.28043,1.00713,0.0085348,0.0085348,0.0085348
150,2398.2,0.4514,0.30924,0.93984,0.96562,0.95233,0.98264,0.86867,0.53897,0.26598,0.99082,0.0085249,0.0085249,0.0085249
151,2413.97,0.43843,0.29021,0.92726,0.98302,0.92978,0.98647,0.85969,0.55562,0.27402,0.98983,0.008515,0.008515,0.008515
152,2429.88,0.43329,0.28354,0.9305,0.96943,0.95555,0.98288,0.86273,0.53605,0.27712,0.9868,0.0085051,0.0085051,0.0085051
153,2445.68,0.43499,0.30198,0.93298,0.96937,0.95668,0.98761,0.86669,0.54573,0.26493,1.00129,0.0084952,0.0084952,0.0084952
154,2461.5,0.44042,0.28934,0.93459,0.98147,0.93385,0.98503,0.87504,0.51633,0.26033,0.98347,0.0084853,0.0084853,0.0084853
155,2477.34,0.43095,0.28412,0.92766,0.98264,0.91671,0.98114,0.8655,0.51892,0.27073,0.97793,0.0084754,0.0084754,0.0084754
156,2493.27,0.44386,0.28866,0.93881,0.9776,0.92491,0.97955,0.85727,0.54109,0.28507,0.97993,0.0084655,0.0084655,0.0084655
157,2509.11,0.42678,0.2879,0.928,0.97999,0.92465,0.98056,0.86402,0.51195,0.27559,0.98347,0.0084556,0.0084556,0.0084556
158,2524.95,0.43357,0.29023,0.93271,0.97234,0.92081,0.98096,0.8623,0.51596,0.29069,0.99312,0.0084457,0.0084457,0.0084457
159,2540.77,0.42488,0.28533,0.92717,0.97033,0.92308,0.98124,0.86003,0.52271,0.28518,0.99386,0.0084358,0.0084358,0.0084358
160,2556.79,0.42311,0.28423,0.92714,0.96311,0.93024,0.97966,0.86741,0.52148,0.29243,0.99543,0.0084259,0.0084259,0.0084259
161,2572.64,0.43122,0.2966,0.93491,0.9681,0.9367,0.98242,0.85713,0.53253,0.29422,1.01415,0.008416,0.008416,0.008416
162,2588.47,0.42711,0.29724,0.92611,0.97789,0.93813,0.98265,0.86634,0.5266,0.27668,0.99106,0.0084061,0.0084061,0.0084061
163,2604.31,0.42189,0.29189,0.92652,0.96577,0.93279,0.97821,0.86173,0.53949,0.29045,1.01498,0.0083962,0.0083962,0.0083962
164,2620.19,0.43208,0.29378,0.93867,0.97535,0.94054,0.98333,0.86999,0.5076,0.26394,0.9791,0.0083863,0.0083863,0.0083863
165,2636.03,0.42725,0.28389,0.92735,0.97459,0.94416,0.98468,0.8726,0.51935,0.25934,0.96457,0.0083764,0.0083764,0.0083764
166,2651.82,0.42704,0.29369,0.92835,0.98306,0.93349,0.98394,0.86442,0.54027,0.2723,0.98062,0.0083665,0.0083665,0.0083665
167,2667.66,0.41788,0.2938,0.90941,0.98162,0.9321,0.98285,0.86316,0.54182,0.27534,0.97905,0.0083566,0.0083566,0.0083566
168,2683.49,0.41916,0.29303,0.92518,0.9479,0.96549,0.9868,0.86777,0.51857,0.26972,0.99054,0.0083467,0.0083467,0.0083467
169,2699.25,0.41889,0.2834,0.94096,0.97191,0.9441,0.98263,0.86691,0.53737,0.27584,1.00026,0.0083368,0.0083368,0.0083368
170,2715.02,0.42462,0.29377,0.93959,0.98319,0.92941,0.97934,0.86171,0.53068,0.27212,0.99973,0.0083269,0.0083269,0.0083269
171,2730.84,0.4136,0.28193,0.92458,0.9745,0.92931,0.98315,0.86443,0.52148,0.28067,0.9894,0.008317,0.008317,0.008317
172,2746.99,0.41944,0.29192,0.92192,0.96952,0.93712,0.98236,0.86846,0.51852,0.27314,0.98405,0.0083071,0.0083071,0.0083071
173,2762.93,0.41909,0.28474,0.92213,0.96731,0.9367,0.97929,0.86725,0.515,0.2712,0.96741,0.0082972,0.0082972,0.0082972
174,2778.86,0.42672,0.28881,0.93566,0.96622,0.94269,0.97676,0.86174,0.51978,0.28174,0.9809,0.0082873,0.0082873,0.0082873
175,2794.78,0.41819,0.28247,0.91675,0.97895,0.91839,0.97425,0.86119,0.52582,0.28218,0.98761,0.0082774,0.0082774,0.0082774
176,2810.73,0.41345,0.2868,0.91276,0.97535,0.93152,0.97802,0.8594,0.53219,0.28382,0.99268,0.0082675,0.0082675,0.0082675
177,2826.53,0.42099,0.29628,0.92007,0.97671,0.93285,0.98145,0.86357,0.51238,0.2805,0.97448,0.0082576,0.0082576,0.0082576
178,2842.31,0.42206,0.28291,0.9229,0.97161,0.93285,0.98326,0.86653,0.51605,0.27349,0.9701,0.0082477,0.0082477,0.0082477
179,2858.1,0.43082,0.29516,0.93008,0.97419,0.93131,0.97769,0.86057,0.51719,0.2882,0.9805,0.0082378,0.0082378,0.0082378
180,2873.98,0.41255,0.27786,0.9253,0.97339,0.94439,0.98452,0.86622,0.50466,0.26428,0.97525,0.0082279,0.0082279,0.0082279
181,2890,0.40886,0.27834,0.92124,0.97467,0.94331,0.98056,0.86242,0.5146,0.26301,0.9784,0.008218,0.008218,0.008218
182,2905.84,0.4067,0.27497,0.92552,0.97293,0.93837,0.98176,0.86518,0.52402,0.27665,0.98246,0.0082081,0.0082081,0.0082081
183,2921.74,0.41198,0.27785,0.92132,0.96985,0.93619,0.98017,0.86608,0.51676,0.27231,0.97493,0.0081982,0.0081982,0.0081982
